2F1	KLRG1	SLC25A5
60B8AG	S100A8	S100A9
87U6	GNAI3	RNU6V
9G8	SLU7	SRSF7
A1	RFC1	RFC2	RFC4
A2	C21orf2	GPHA2	SGCA
A20	IGKV1-27	TNFAIP3
A3GALNT	ABO	GBGT1
A4	PLP2	SGCG
ABC1	ABCA1	HEATR6
ABL	ABL1	MTTP
ABP-280	FLNA	FLNC
ACA59	SNORA59A	SNORA59B
ACAT	ACAT1	SOAT1
ACBP	CPN2	DBI
ACS	ACCS	ACSS2
ACS2	ACSL5	ACSL6
ACS3	ACSL3	TWIST1
ACSM2	ACSM2A	ACSM2B
ACT	ACOT7	FHL5	POTEM	SERPINA3
ACVRLK4	ACVR1B	TGFBR1
AD3	PSEN1	TBC1D8
AE2	NBPF3	SLC4A2
AF-1	IFNGR2	PSMD4
AG2	AGR2	C11orf96
AGS1	RASD1	TREX1
AGS3	GPSM1	RNASEH2C
AGS4	GPSM3	RNASEH2A
AIM-1	AURKB	SLC45A2
AIP1	ACTRT1	ARL6IP1	DAB2IP	MAGI2	PDCD6IP
AK3L1	AK3	AK4
AK6	AK3	TAF9
ALC1	CHD1L	MYL4
ALDH4	ALDH4A1	ALDH9A1
ALDH7	ALDH3B1	ALDH9A1
ALDRP	ABCD2	AKR1B1P2
ALK1	ACVRL1	SLPI
ALP	ASRGL1	ATHS	ATRNL1	CCL27	PDLIM3	SLPI
ALP1	ASRGL1	ASZ1
ALR	AKR1A1	GFER	KMT2D
ALS	IGFALS	SOD1
AMCD2B	TNNI2	TNNT3
AMY1	AMY1A	AMY1B	AMY1C
AMY2	AMY2A	AMY2B
AN	CCDC102B	DIAPH3	PAX6
ANCR	DANCR	UBE3A
ANG3	ANGPTL1	VPS51
ANK	ANK1	ANKH
AP-1	FOS	FOSB	JUN	JUND
AP47B	AP3M2	AP4S1
APC1	ANAPC1	SLC25A24
APC2	ANAPC2	SLC25A23
APC4	ANAPC4	SLC25A41
APC7	ANAPC7	SCARA3
APE	APEX1	CCDC88A
APH2	NCSTN	ZDHHC16
API5L1	API5	API5P1
APR	LRP1	PMAIP1
APRIL	ANP32B	TNFSF13
APS	KLK3	SH2B2
ARA	ABCC6	FOXC1
ARD1	NAA10	PPP1R8	TRIM23
ARG	ABL2	RERE
ARH2	ADPRHL1	LDLRAP1
ARIP1	ACTRT1	MAGI2
ARP	ARFRP1	CRISP1	MANF	RERE
ARP1	ACTR1A	ANGPTL1	APOBEC2	NR2F2	PITX2
ARP11	ACTR3B	ACTR3C
ARP2	ACTR2	AICDA	ANGPTL2
ARP3	ACTR3	APOBEC3A
ARP5	ANGPTL6	APOBEC3C
ARP6	ACTR6	APOBEC3D
ARS	RIEG2	SLURP1
ARSC	ARSC2	STS
AS	HLA-B	UBE3A
ASC2	NCOA6	PYDC1
ASH1	ASCL1	ASH1L
ASH2	ASCL2	ASH2L
ASM	H19	SMPD1
ASP	A1CF	ASIP	ASPA	ASPM	ATG5	ROPN1L
AT1	AGTR1	SLC33A1
ATDC	ATM	TRIM29
ATP5A	ATP5A1	ATP5J
ATP6C	ATP6V0C	ATP6V1C1
ATP6D	ATP6V0D1	ATP6V1C1
ATP6G	ATP6V1G1	ATP6V1G2
ATPM	ATP5A1	ATP5J
ATR	ANTXR1	SERPINA2P
ATX	ENPP2	SMG1
AUTL1	ATG4B	ATG4C
B1	BBS9	MS4A1
B12	NDUFB3	TNFAIP1
B17	DONSON	NDUFB6
B18	EVA1C	NDUFB7
B29	CD79B	MRO
B37	ATN1	C21orf62
B3GN-T1	B3GNT1	B3GNT2
B9	B9D1	NDUFA3
BAF190	SMARCA2	SMARCA4
BAP1	MAGI1	RNF2
BAR	ADRB2	BFAR
BART	ARL2BP	BSND
BCAP	PHF11	PIK3AP1
BCD1	KLF6	ZNHIT6
BCD541	SMN1	SMN2
BDP	ARID3B	PPM1K
BEC1	CLDN5	KCNH3
BEDP	APOBEC1	DUSP13
BFNC	CHRNA4	KCNQ2
BMD	BEST1	DMD
BOP	OPN1SW	SMYD1
BOR	CDCA8	EYA1
BRCC1	BRCA1	NARG2
BRCC2	BLID	BRCA2
BRWD2	PHIP	WDR11
BRX	AKAP13	CHIC1
BTF2	BTN2A2	ERCC3	GTF2H1	GTF2H2	GTF2H3
BTF4	GTF2F1	GTF2F2
C1	ARHGAP4	PFDN4	TRGC1
C11orf2	IFT46	VPS51
C11orf3	EMC7	VPS51
C11orf4	GPR137	MRPL49
C11orf5	CWC15	ZNHIT2
C17orf1	FBXW10	FMNL1
C18orf2	CHMP1B	LINC00470
C1QTNF15	FAM132B	OTOL1
C2TA	CIITA	DONSON
C4BP	C4BPA	C4BPB
C6ST	CHST1	CHST2	CHST3
CA125	MUC16	NBR1
CAF-1	CHAF1A	CHAF1B
CAF1	CHAF1A	CHAF1B	CNOT7	CNOT8
CAK	CDK7	DDR1
CAK1	CDK7	MSLN
CAL	FBLIM1	GOPC
CALM	PICALM	SNAP91
CANP	CAPN1	CAPNS1	FAM111B
CAP	BRD4	CAP1	LNPEP	PTPLA	SERPINB6	SORBS1
CAPS1	CADPS	CAPS
CAR	CXADR	CXADRP1	NR1I3	SPG7
CARD2	KRT8	NOL3
CARP	ANKRD1	CA8	FAM188A
